time,apparent_temperature_mean
01/02/2023,19.3
01/03/2023,18
01/04/2023,17.1
01/05/2023,18.1
01/06/2023,18.1
01/07/2023,16.3
01/08/2023,14.6
01/09/2023,15.7
01/10/2023,16.4
01/11/2023,16.4
01/12/2023,17.1
01/13/2023,17.5
01/14/2023,18.7
01/15/2023,18.2
01/16/2023,17.8
01/17/2023,17.3
01/18/2023,17.4
01/19/2023,16.8
01/20/2023,16.4
01/21/2023,16.6
01/22/2023,18.5
01/23/2023,18.1
01/24/2023,16.3
01/25/2023,12.2
01/26/2023,14.1
01/27/2023,15.9
01/28/2023,14.4
01/29/2023,13.6
01/30/2023,14.3
01/31/2023,14.8
02/01/2023,17.5
02/02/2023,19.1
02/03/2023,18.4
02/04/2023,17.1
02/05/2023,16.3
02/06/2023,18.1
02/07/2023,18.7
02/08/2023,18.8
02/09/2023,17.3
02/10/2023,16.7
02/11/2023,17
02/12/2023,17.6
02/13/2023,17.6
02/14/2023,17.1
02/15/2023,16.3
02/16/2023,15.2
02/17/2023,13.5
02/18/2023,16.8
02/19/2023,18.3
02/20/2023,18.8
02/21/2023,17
02/22/2023,16.6
02/23/2023,17.8
02/24/2023,18.5
02/25/2023,19
02/26/2023,16.5
02/27/2023,15.3
02/28/2023,15.1
03/01/2023,16.9
03/02/2023,16.9
03/03/2023,14.7
03/04/2023,14.4
03/05/2023,13.7
03/06/2023,13.8
03/07/2023,14.1
03/08/2023,15.1
03/09/2023,16.3
03/10/2023,16.4
03/11/2023,16
03/12/2023,15.7
03/13/2023,16.1
03/14/2023,16
03/15/2023,17
03/16/2023,17.6
03/17/2023,18.3
03/18/2023,19
03/19/2023,19
03/20/2023,19.8
03/21/2023,20.3
03/22/2023,21
03/23/2023,20.3
03/24/2023,20.3
03/25/2023,20.5
03/26/2023,20.3
03/27/2023,20.2
03/28/2023,19.6
03/29/2023,18.9
03/30/2023,20.1
03/31/2023,20.1
04/01/2023,20.3
04/02/2023,20.5
04/03/2023,19.1
04/04/2023,19.5
04/05/2023,20.4
04/06/2023,20.2
04/07/2023,20.3
04/08/2023,20.1
04/09/2023,19.6
04/10/2023,18.8
04/11/2023,20.1
04/12/2023,21.2
04/13/2023,21.7
04/14/2023,20.4
04/15/2023,19.8
04/16/2023,20.6
04/17/2023,20.4
04/18/2023,20.1
04/19/2023,20.6
