time,daylight_duration
01/01/2023,39524.8
01/02/2023,39541.62
01/03/2023,39560.02
01/04/2023,39579.95
01/05/2023,39601.38
01/06/2023,39624.25
01/07/2023,39648.54
01/08/2023,39674.19
01/09/2023,39701.17
01/10/2023,39729.42
01/11/2023,39758.92
01/12/2023,39789.61
01/13/2023,39821.46
01/14/2023,39854.42
01/15/2023,39888.46
01/16/2023,39923.52
01/17/2023,39959.57
01/18/2023,39996.58
01/19/2023,40034.9
01/20/2023,40074.67
01/21/2023,40115.82
01/22/2023,40158.29
01/23/2023,40202.01
01/24/2023,40246.91
01/25/2023,40292.91
01/26/2023,40339.97
01/27/2023,40388
01/28/2023,40436.94
01/29/2023,40486.73
01/30/2023,40537.3
01/31/2023,40588.61
02/01/2023,40640.57
02/02/2023,40693.12
02/03/2023,40746.22
02/04/2023,40799.8
02/05/2023,40853.8
02/06/2023,40908.16
02/07/2023,40962.85
02/08/2023,41018.29
02/09/2023,41074.7
02/10/2023,41132.02
02/11/2023,41190.16
02/12/2023,41249.08
02/13/2023,41308.71
02/14/2023,41368.98
02/15/2023,41429.84
02/16/2023,41491.22
02/17/2023,41553.06
02/18/2023,41615.31
02/19/2023,41677.9
02/20/2023,41740.79
02/21/2023,41803.91
02/22/2023,41867.2
02/23/2023,41930.62
02/24/2023,41994.1
02/25/2023,42057.59
02/26/2023,42121.05
02/27/2023,42184.43
02/28/2023,42248.15
03/01/2023,42312.43
03/02/2023,42377.21
03/03/2023,42442.45
03/04/2023,42508.09
03/05/2023,42574.09
03/06/2023,42640.4
03/07/2023,42706.96
03/08/2023,42773.73
03/09/2023,42840.66
03/10/2023,42907.71
03/11/2023,42974.81
03/12/2023,43041.93
03/13/2023,43109.03
03/14/2023,43176.05
03/15/2023,43242.95
03/16/2023,43309.68
03/17/2023,43376.18
03/18/2023,43442.43
03/19/2023,43508.37
03/20/2023,43574.4
03/21/2023,43640.73
03/22/2023,43707.3
03/23/2023,43774.08
03/24/2023,43841.02
03/25/2023,43908.07
03/26/2023,43975.2
03/27/2023,44042.36
