time,precipitation_sum
01/01/2023,1.7
01/02/2023,0
01/03/2023,0
01/04/2023,14.8
01/05/2023,4.1
01/06/2023,16.3
01/07/2023,3.2
01/08/2023,0
01/09/2023,0
01/10/2023,0
01/11/2023,0.9
01/12/2023,0.1
01/13/2023,0
01/14/2023,3.4
01/15/2023,0
01/16/2023,3
01/17/2023,2
01/18/2023,14.5
01/19/2023,4.3
01/20/2023,4.9
01/21/2023,3.2
01/22/2023,21.3
01/23/2023,2.6
01/24/2023,0
01/25/2023,0.3
01/26/2023,2.9
01/27/2023,1.5
01/28/2023,0.1
01/29/2023,1.7
01/30/2023,28.3
01/31/2023,0
02/01/2023,0
02/02/2023,3.2
02/03/2023,0.2
02/04/2023,0.1
02/05/2023,0
02/06/2023,0.8
02/07/2023,1.8
02/08/2023,9.2
02/09/2023,70.8
02/10/2023,1
02/11/2023,0
02/12/2023,0.1
02/13/2023,2.3
02/14/2023,6.1
02/15/2023,2.2
02/16/2023,0
02/17/2023,0
02/18/2023,0
02/19/2023,0.1
02/20/2023,0
02/21/2023,24.9
02/22/2023,16.3
02/23/2023,2.8
02/24/2023,1.7
02/25/2023,0.3
02/26/2023,0.5
02/27/2023,2.3
02/28/2023,1.2
03/01/2023,0.1
03/02/2023,2.3
03/03/2023,10.2
03/04/2023,3.7
03/05/2023,0
03/06/2023,0
03/07/2023,0.1
03/08/2023,0
03/09/2023,0
03/10/2023,0.3
03/11/2023,0
03/12/2023,5.5
03/13/2023,8.4
03/14/2023,10.4
03/15/2023,1
03/16/2023,0
03/17/2023,0.1
03/18/2023,0
03/19/2023,0
03/20/2023,1.8
03/21/2023,0.7
03/22/2023,8.8
03/23/2023,11.7
03/24/2023,1.7
03/25/2023,12.1
03/26/2023,0.1
03/27/2023,3.4
03/28/2023,2.3
03/29/2023,5.7
03/30/2023,0.6
03/31/2023,0
04/01/2023,1.4
04/02/2023,4.4
04/03/2023,0.8
04/04/2023,0.3
04/05/2023,0.2
04/06/2023,0.3
04/07/2023,5.5
04/08/2023,0
04/09/2023,0
04/10/2023,0
04/11/2023,0
04/12/2023,2.9
04/13/2023,3
04/14/2023,2.5
04/15/2023,0
04/16/2023,0.3
04/17/2023,0
04/18/2023,0
04/19/2023,1.3
04/20/2023,9.9
04/21/2023,0.8
04/22/2023,1.1
04/23/2023,4
04/24/2023,2
04/25/2023,0
04/26/2023,0
04/27/2023,0.1
04/28/2023,0
04/29/2023,17.5
04/30/2023,15.2
05/01/2023,0
05/02/2023,0
05/03/2023,0
05/04/2023,0
05/05/2023,0
05/06/2023,0
05/07/2023,5.5
05/08/2023,7.9
05/09/2023,0
05/10/2023,0
05/11/2023,0.3
05/12/2023,0
05/13/2023,2.2
