time,rain_sum
01/02/2023,0.7
01/03/2023,7.5
01/04/2023,4.8
01/05/2023,24.8
01/06/2023,30.2
01/07/2023,43.2
01/08/2023,46.2
01/09/2023,17.1
01/10/2023,6.7
01/11/2023,0.5
01/12/2023,1.4
01/13/2023,0.2
01/14/2023,0
01/15/2023,0.6
01/16/2023,0
01/17/2023,0.5
01/18/2023,0
01/19/2023,0
01/20/2023,0
01/21/2023,0
01/22/2023,0.2
01/23/2023,0.5
01/24/2023,3.4
01/25/2023,1.7
01/26/2023,0
01/27/2023,0.6
01/28/2023,1.2
01/29/2023,0.2
01/30/2023,0
01/31/2023,0
02/01/2023,11.6
02/02/2023,2.4
02/03/2023,1
02/04/2023,0.5
02/05/2023,0.7
02/06/2023,0
02/07/2023,0
02/08/2023,1.5
02/09/2023,1.8
02/10/2023,0.6
02/11/2023,0
02/12/2023,0
02/13/2023,0
02/14/2023,0.3
02/15/2023,5.9
02/16/2023,3.4
02/17/2023,2.1
02/18/2023,2.5
02/19/2023,0.6
02/20/2023,0.2
02/21/2023,0.7
02/22/2023,0.9
02/23/2023,0
02/24/2023,0.2
02/25/2023,0.2
02/26/2023,0.8
02/27/2023,1.1
02/28/2023,2.2
03/01/2023,0.4
03/02/2023,1.7
03/03/2023,1.3
03/04/2023,0.6
03/05/2023,2
03/06/2023,0
03/07/2023,0.8
03/08/2023,0
03/09/2023,0.1
03/10/2023,1.1
03/11/2023,0
03/12/2023,0
03/13/2023,2.6
03/14/2023,2.5
03/15/2023,0
03/16/2023,1.3
03/17/2023,1
03/18/2023,0
03/19/2023,0.1
03/20/2023,0
03/21/2023,0
03/22/2023,0
03/23/2023,0
03/24/2023,0
03/25/2023,0
03/26/2023,0
03/27/2023,0.4
03/28/2023,1.4
03/29/2023,0.4
03/30/2023,0
03/31/2023,0
04/01/2023,0
04/02/2023,0
04/03/2023,0.3
04/04/2023,0
04/05/2023,0
04/06/2023,0
04/07/2023,0
04/08/2023,1.5
04/09/2023,3.2
04/10/2023,1
04/11/2023,0
04/12/2023,0
04/13/2023,0.1
04/14/2023,0
04/15/2023,3
04/16/2023,0.4
04/17/2023,0.4
04/18/2023,0
04/19/2023,0
04/20/2023,0
04/21/2023,0
04/22/2023,0
04/23/2023,0
04/24/2023,0.1
04/25/2023,0.6
04/26/2023,1.9
04/27/2023,1.9
04/28/2023,1.7
04/29/2023,0.1
04/30/2023,5.1
05/01/2023,0.9
05/02/2023,1.4
05/03/2023,3.8
05/04/2023,0.1
05/05/2023,0
05/06/2023,0
05/07/2023,0
05/08/2023,2.6
05/09/2023,2.9
05/10/2023,1.6
05/11/2023,2.4
05/12/2023,4.7
05/13/2023,0.6
05/14/2023,3.8
05/15/2023,0
05/16/2023,2.2
05/17/2023,0
05/18/2023,0
05/19/2023,0
05/20/2023,1.9
05/21/2023,0
05/22/2023,0
05/23/2023,0.4
05/24/2023,0.6
05/25/2023,2.9
05/26/2023,0
05/27/2023,0.6
05/28/2023,1.2
05/29/2023,10
05/30/2023,19.7
05/31/2023,0.3
06/01/2023,1
06/02/2023,0.1
06/03/2023,3.7
06/04/2023,3.5
06/05/2023,10.1
06/06/2023,0.7
06/07/2023,0.6
06/08/2023,0
06/09/2023,0
06/10/2023,1.6
06/11/2023,0
06/12/2023,0.6
06/13/2023,0
06/14/2023,0
06/15/2023,3.9
06/16/2023,1.1
06/17/2023,2
06/18/2023,0.3
06/19/2023,0.2
06/20/2023,8.2
06/21/2023,0
06/22/2023,2.7
06/23/2023,0
06/24/2023,0
06/25/2023,0
06/26/2023,1.3
06/27/2023,0.2
06/28/2023,0.6
06/29/2023,10.6
06/30/2023,26.3
07/01/2023,3.3
07/02/2023,1.7
07/03/2023,0.1
07/04/2023,0
07/05/2023,0.1
