time,temperature_2m_max
01/08/2023,24.1
01/09/2023,26.3
01/10/2023,24.4
01/11/2023,24.1
01/12/2023,25.3
01/13/2023,26.2
01/14/2023,24.6
01/15/2023,28.7
01/16/2023,27.4
01/17/2023,26.5
01/18/2023,30.3
01/19/2023,20.6
01/20/2023,20.2
01/21/2023,24.1
01/22/2023,19.1
01/23/2023,23.6
01/24/2023,26.9
01/25/2023,26.9
01/26/2023,33.5
01/27/2023,25.4
01/28/2023,30.5
01/29/2023,31.7
01/30/2023,27.5
01/31/2023,26.6
02/01/2023,26.7
02/02/2023,31.4
02/03/2023,28.8
02/04/2023,25.5
02/05/2023,26.8
02/06/2023,27.4
02/07/2023,26
02/08/2023,25.7
02/09/2023,22.6
02/10/2023,29.5
02/11/2023,34.7
02/12/2023,25.9
02/13/2023,23
02/14/2023,22.5
02/15/2023,25.4
02/16/2023,28.7
02/17/2023,28.5
02/18/2023,32.3
02/19/2023,25.8
02/20/2023,30.2
02/21/2023,28.5
02/22/2023,21.5
02/23/2023,21.9
02/24/2023,24.1
02/25/2023,25.4
02/26/2023,32
02/27/2023,24.5
02/28/2023,25.2
03/01/2023,27.8
03/02/2023,24.7
03/03/2023,25.8
03/04/2023,25.6
03/05/2023,27.2
03/06/2023,35.5
03/07/2023,33.6
03/08/2023,30
03/09/2023,26.5
03/10/2023,25.1
03/11/2023,30.7
03/12/2023,24.3
03/13/2023,23.2
03/14/2023,22.8
03/15/2023,27.8
03/16/2023,35.5
03/17/2023,30.7
03/18/2023,30.2
03/19/2023,34.5
03/20/2023,22.1
03/21/2023,21.6
03/22/2023,22.5
03/23/2023,24.4
03/24/2023,23.7
03/25/2023,22.8
03/26/2023,23.2
03/27/2023,25
03/28/2023,26.1
03/29/2023,25.5
03/30/2023,22.7
03/31/2023,23
04/01/2023,18.2
04/02/2023,19.2
04/03/2023,21.9
04/04/2023,22.8
04/05/2023,22.6
04/06/2023,21.6
04/07/2023,23.3
04/08/2023,21.7
04/09/2023,19.7
04/10/2023,19.2
04/11/2023,20.5
04/12/2023,21.2
04/13/2023,20
04/14/2023,19.3
04/15/2023,24.1
04/16/2023,25.4
04/17/2023,20.4
04/18/2023,21.8
04/19/2023,23.7
04/20/2023,17.2
04/21/2023,20.1
04/22/2023,20.2
04/23/2023,21.3
04/24/2023,21.9
04/25/2023,23.3
04/26/2023,20.8
04/27/2023,22.9
04/28/2023,25.7
04/29/2023,17.6
04/30/2023,18.4
05/01/2023,18.1
05/02/2023,20.5
05/03/2023,21.6
05/04/2023,18.4
05/05/2023,20
05/06/2023,19.6
05/07/2023,13.7
05/08/2023,16.4
05/09/2023,17.6
05/10/2023,18.7
05/11/2023,20.2
05/12/2023,21.7
05/13/2023,19.4
05/14/2023,18.5
05/15/2023,19.1
05/16/2023,20
05/17/2023,15.6
05/18/2023,15
05/19/2023,16.5
05/20/2023,16.8
05/21/2023,17.4
05/22/2023,17.9
05/23/2023,18.2
05/24/2023,19.6
05/25/2023,21.4
05/26/2023,15.3
05/27/2023,15.8
05/28/2023,15.6
05/29/2023,19.2
05/30/2023,19.2
05/31/2023,20.1
06/01/2023,21
06/02/2023,20.1
06/03/2023,21.8
06/04/2023,17.9
06/05/2023,17.4
06/06/2023,17.8
06/07/2023,19
06/08/2023,16.5
06/09/2023,18.1
06/10/2023,16.4
06/11/2023,16.7
06/12/2023,18.5
06/13/2023,18.1
06/14/2023,16.4
06/15/2023,16
06/16/2023,17.2
06/17/2023,17.6
06/18/2023,17.6
06/19/2023,14.9
06/20/2023,14
06/21/2023,14.9
06/22/2023,15
06/23/2023,16.9
06/24/2023,17.6
06/25/2023,18.2
06/26/2023,17.4
06/27/2023,16.3
06/28/2023,9.7
06/29/2023,13.6
06/30/2023,16.3
07/01/2023,16.4
07/02/2023,16.8
07/03/2023,17.4
07/04/2023,13.7
07/05/2023,19.4
07/06/2023,16.1
07/07/2023,15.6
07/08/2023,17
07/09/2023,16
07/10/2023,17.4
07/11/2023,16.9
07/12/2023,18
07/13/2023,18.8
07/14/2023,20.8
07/15/2023,21.8
07/16/2023,16.7
07/17/2023,17.6
07/18/2023,19.8
07/19/2023,14.8
07/20/2023,16.5
07/21/2023,16.3
07/22/2023,15.7
07/23/2023,16.2
07/24/2023,15.8
07/25/2023,17.5
07/26/2023,19
07/27/2023,19
07/28/2023,22
07/29/2023,21.9
07/30/2023,23.4
07/31/2023,21.1
08/01/2023,20.1
08/02/2023,18.3
08/03/2023,20.6
08/04/2023,22.1
08/05/2023,19.4
08/06/2023,16
08/07/2023,15
08/08/2023,17.5
08/09/2023,19.4
08/10/2023,21.4
08/11/2023,17.8
08/12/2023,20
08/13/2023,16.5
08/14/2023,16.3
08/15/2023,14.9
08/16/2023,15.2
08/17/2023,18.7
08/18/2023,15.6
08/19/2023,17
08/20/2023,20.1
08/21/2023,19.9
08/22/2023,24
08/23/2023,17.8
08/24/2023,17.3
08/25/2023,19.9
08/26/2023,18.2
08/27/2023,18.6
08/28/2023,19.6
08/29/2023,21.8
08/30/2023,25.2
08/31/2023,17.2
09/01/2023,17.3
09/02/2023,16.5
09/03/2023,18.6
09/04/2023,18.7
09/05/2023,22.8
09/06/2023,20.5
09/07/2023,23.7
09/08/2023,19.7
09/09/2023,18
09/10/2023,17.8
09/11/2023,19.5
09/12/2023,20.6
09/13/2023,22
09/14/2023,24.6
09/15/2023,28
09/16/2023,31.8
09/17/2023,30.9
09/18/2023,33.5
09/19/2023,32.8
09/20/2023,32
09/21/2023,21.7
09/22/2023,16.9
09/23/2023,19.2
09/24/2023,19.6
09/25/2023,25
09/26/2023,20.4
09/27/2023,22.3
09/28/2023,20.9
09/29/2023,28.9
09/30/2023,26.2
10/01/2023,33.3
10/02/2023,22.1
10/03/2023,34
10/04/2023,27
10/05/2023,20.8
10/06/2023,21.1
10/07/2023,17.6
10/08/2023,20.4
10/09/2023,24.6
10/10/2023,21
10/11/2023,24.7
10/12/2023,32
10/13/2023,24.1
10/14/2023,28
10/15/2023,24.6
10/16/2023,24.5
10/17/2023,17.2
10/18/2023,20.6
10/19/2023,22.2
10/20/2023,25.6
10/21/2023,25.5
10/22/2023,30.8
10/23/2023,27
10/24/2023,30.3
10/25/2023,23.9
10/26/2023,14.8
10/27/2023,16.6
10/28/2023,19
10/29/2023,25.2
10/30/2023,33
10/31/2023,27.6
11/01/2023,19
11/02/2023,21.1
11/03/2023,22.1
11/04/2023,19.9
11/05/2023,16.3
11/06/2023,19.6
11/07/2023,23.4
11/08/2023,25
11/09/2023,26.7
11/10/2023,24.2
11/11/2023,28.8
11/12/2023,25.4
11/13/2023,20.8
11/14/2023,25.7
11/15/2023,25
11/16/2023,26.1
11/17/2023,20.3
11/18/2023,21.6
11/19/2023,24.7
11/20/2023,26
11/21/2023,23.2
11/22/2023,23.1
11/23/2023,21.8
11/24/2023,23.7
11/25/2023,20.9
11/26/2023,29.5
11/27/2023,23.6
11/28/2023,20.9
11/29/2023,25.6
11/30/2023,27.3
12/01/2023,26.8
12/02/2023,25.2
12/03/2023,25.5
12/04/2023,23
12/05/2023,32.5
12/06/2023,24.4
12/07/2023,27.9
12/08/2023,35.4
12/09/2023,40.5
12/10/2023,26
12/11/2023,29.3
12/12/2023,27.4
12/13/2023,27.7
12/14/2023,37
12/15/2023,25.5
12/16/2023,34
12/17/2023,24.5
12/18/2023,29.7
12/19/2023,33.2
12/20/2023,19.9
12/21/2023,21
12/22/2023,22.2
