time,temperature_2m_mean,precipitation_sum
12/28/2023,28.2,0.6
12/29/2023,28.4,0
12/30/2023,27.7,2.5
12/31/2023,27.3,1.4
01/01/2024,26.9,10.8
01/02/2024,27.2,1.7
01/03/2024,26.9,2.3
01/04/2024,27.9,0
01/05/2024,28,0
01/06/2024,27.3,0
01/07/2024,27.9,0
01/08/2024,27.9,0
01/09/2024,27.7,0.7
01/10/2024,27.4,0
01/11/2024,27.2,1.2
01/12/2024,26.9,0
01/13/2024,26.9,0
01/14/2024,27,0
01/15/2024,26.7,0
01/16/2024,26.4,0
01/17/2024,26,0
01/18/2024,25.8,0
01/19/2024,26.8,0
01/20/2024,26.9,0
01/21/2024,27.2,0.5
01/22/2024,28,0.6
01/23/2024,26.7,2.8
01/24/2024,27.3,0
01/25/2024,26.6,0
01/26/2024,25.6,0
01/27/2024,25.3,0
01/28/2024,26,0
01/29/2024,26.1,0
01/30/2024,26.1,0
01/31/2024,26.7,0
02/01/2024,27.1,0
02/02/2024,27.4,0
02/03/2024,27.8,0
02/04/2024,28.5,0
02/05/2024,28,0
02/06/2024,28.7,0
02/07/2024,27.6,0.2
02/08/2024,26.8,0.2
02/09/2024,27.2,0.3
02/10/2024,27.6,0.1
02/11/2024,27.9,0
02/12/2024,26.8,0
02/13/2024,27,0
02/14/2024,27.9,0
02/15/2024,27.8,0
02/16/2024,28.2,0
02/17/2024,28.1,0
02/18/2024,27.8,0
02/19/2024,28.3,0
02/20/2024,28.2,0
02/21/2024,27.8,0
02/22/2024,28.1,0
02/23/2024,28.2,0
02/24/2024,28.2,0
02/25/2024,28.8,1.6
02/26/2024,28.7,0
02/27/2024,28,0
02/28/2024,27.7,0
02/29/2024,27.3,0
03/01/2024,27.5,0
03/02/2024,28,0
03/03/2024,28.1,0
03/04/2024,28.3,0.7
03/05/2024,28.9,0
03/06/2024,28.4,0
03/07/2024,28.5,0
03/08/2024,28.7,1.4
03/09/2024,28.6,0
03/10/2024,29.3,0
03/11/2024,28.9,0.3
03/12/2024,27.7,0.9
03/13/2024,29,0.2
03/14/2024,29,0
03/15/2024,28.6,1
03/16/2024,28.2,1.3
03/17/2024,28.6,0.4
03/18/2024,28.4,1.2
03/19/2024,27.7,0
03/20/2024,28,4.9
03/21/2024,28,1.4
03/22/2024,28.7,0
03/23/2024,28.9,1.3
03/24/2024,29.9,0
03/25/2024,30.2,0
03/26/2024,29.8,0.1
03/27/2024,29.1,3
03/28/2024,29.1,6
03/29/2024,29.7,0.9
03/30/2024,30.7,0
03/31/2024,29.7,0
04/01/2024,29.9,0
04/02/2024,30.1,0
04/03/2024,29.9,0
04/04/2024,30.1,0.1
04/05/2024,31.2,0
04/06/2024,30.4,0.2
04/07/2024,31.2,0
04/08/2024,30.9,0.4
04/09/2024,31.1,0.4
04/10/2024,30.9,2.4
04/11/2024,30.2,0.2
04/12/2024,30.5,0
04/13/2024,31,0
04/14/2024,31.2,0
04/15/2024,31.1,0.1
04/16/2024,31.1,0
04/17/2024,31.2,0
04/18/2024,30.8,0
04/19/2024,31.2,0
04/20/2024,31.1,0
04/21/2024,31.3,0
04/22/2024,31.7,0.1
04/23/2024,31.4,1.2
04/24/2024,30.4,5.5
04/25/2024,30.4,2.6
04/26/2024,31.2,1.3
04/27/2024,32.2,0
04/28/2024,31.8,2
