time,temperature_2m_min
01/01/2023,10.2
01/02/2023,11.7
01/03/2023,11.9
01/04/2023,11.8
01/05/2023,12.6
01/06/2023,12.5
01/07/2023,12.3
01/08/2023,13.1
01/09/2023,13.5
01/10/2023,14.6
01/11/2023,12.9
01/12/2023,11.3
01/13/2023,9.5
01/14/2023,11.3
01/15/2023,15.2
01/16/2023,13.8
01/17/2023,13.6
01/18/2023,12
01/19/2023,12
01/20/2023,10
01/21/2023,10.4
01/22/2023,12
01/23/2023,13.2
01/24/2023,14.8
01/25/2023,14.4
01/26/2023,14.9
01/27/2023,16.1
01/28/2023,16.4
01/29/2023,15.9
01/30/2023,13.5
01/31/2023,11.9
02/01/2023,14.4
02/02/2023,16.2
02/03/2023,13.2
02/04/2023,13
02/05/2023,12
02/06/2023,12.2
02/07/2023,12.4
02/08/2023,15.4
02/09/2023,15.5
02/10/2023,15.9
02/11/2023,14.1
02/12/2023,14.4
02/13/2023,17
02/14/2023,12.3
02/15/2023,10.8
02/16/2023,11.2
02/17/2023,12.9
02/18/2023,14.6
02/19/2023,15.9
02/20/2023,17
02/21/2023,18.1
02/22/2023,19.7
02/23/2023,21.3
02/24/2023,19.8
02/25/2023,17.6
02/26/2023,18.2
02/27/2023,16.4
02/28/2023,16.3
03/01/2023,17.8
03/02/2023,16.7
03/03/2023,17.3
03/04/2023,16.2
03/05/2023,16.6
03/06/2023,16.7
03/07/2023,17
03/08/2023,18.8
03/09/2023,20.5
03/10/2023,20.4
03/11/2023,20.1
03/12/2023,20.3
03/13/2023,19.1
03/14/2023,18.4
03/15/2023,19.3
03/16/2023,19.8
03/17/2023,18.2
03/18/2023,20.6
03/19/2023,18.9
03/20/2023,19.2
03/21/2023,18
03/22/2023,18.5
03/23/2023,18.1
03/24/2023,18.2
03/25/2023,18.1
03/26/2023,19.7
03/27/2023,20.4
03/28/2023,19.6
03/29/2023,20.4
03/30/2023,19.5
03/31/2023,21.6
04/01/2023,20.7
04/02/2023,19.6
04/03/2023,20.1
04/04/2023,21
04/05/2023,23.3
04/06/2023,21.9
04/07/2023,19.1
04/08/2023,19.7
04/09/2023,19.4
04/10/2023,20.2
04/11/2023,21.3
04/12/2023,21.2
04/13/2023,22
04/14/2023,21.9
04/15/2023,21.8
04/16/2023,22.8
04/17/2023,25.7
04/18/2023,25.4
04/19/2023,25.9
04/20/2023,23.3
04/21/2023,23.2
04/22/2023,21.5
04/23/2023,22
04/24/2023,19.9
04/25/2023,22.2
04/26/2023,22.3
04/27/2023,21.5
04/28/2023,22.3
04/29/2023,22.7
04/30/2023,23.1
05/01/2023,24.5
05/02/2023,24
05/03/2023,23.9
05/04/2023,22.9
05/05/2023,22.5
05/06/2023,23.4
05/07/2023,24.4
05/08/2023,23.4
05/09/2023,22.4
05/10/2023,26.1
05/11/2023,25.5
05/12/2023,25.5
05/13/2023,23.7
05/14/2023,21
05/15/2023,19.9
05/16/2023,22.2
05/17/2023,24.2
05/18/2023,24
05/19/2023,23.6
05/20/2023,24.8
05/21/2023,23.3
05/22/2023,24.3
05/23/2023,24.5
05/24/2023,23.7
05/25/2023,22.8
05/26/2023,23.8
05/27/2023,23.8
05/28/2023,22.1
05/29/2023,23.3
05/30/2023,23
05/31/2023,26.1
06/01/2023,26.7
06/02/2023,26
06/03/2023,26
06/04/2023,25.8
06/05/2023,26
06/06/2023,27.1
06/07/2023,26.4
06/08/2023,24.3
06/09/2023,24.5
06/10/2023,24.6
06/11/2023,24.1
06/12/2023,24.7
06/13/2023,25.4
06/14/2023,25.8
06/15/2023,23.9
06/16/2023,25.3
06/17/2023,26.6
06/18/2023,26.2
06/19/2023,25.9
06/20/2023,25.7
06/21/2023,25.3
06/22/2023,24.9
06/23/2023,24.6
06/24/2023,24.3
06/25/2023,25
06/26/2023,25.2
06/27/2023,24.2
06/28/2023,24.1
06/29/2023,25
06/30/2023,24.5
07/01/2023,25.5
07/02/2023,25.8
07/03/2023,26.1
07/04/2023,25
07/05/2023,25.3
07/06/2023,25.1
07/07/2023,24.9
07/08/2023,24.7
07/09/2023,25.7
07/10/2023,24.9
07/11/2023,25
07/12/2023,24.9
07/13/2023,25.2
07/14/2023,24.4
07/15/2023,24.2
07/16/2023,25
07/17/2023,24.8
07/18/2023,25.5
07/19/2023,25.5
07/20/2023,25.6
07/21/2023,25.7
07/22/2023,25.4
07/23/2023,25.8
