datetime,close
2024-10-07,5.42
2024-10-04,5.45
2024-10-03,5.44
2024-10-02,5.46
2024-10-01,5.42
2024-09-30,5.45
2024-09-27,5.45
2024-09-26,5.42
2024-09-25,5.4
2024-09-24,5.38
2024-09-23,5.35
2024-09-20,5.34
2024-09-19,5.35
2024-09-18,5.31
2024-09-17,5.3
2024-09-16,5.36
2024-09-13,5.33
2024-09-12,5.32
2024-09-11,5.28
2024-09-10,5.28
2024-09-09,5.3
2024-09-08,5.3
2024-09-06,5.22
2024-09-05,5.27
2024-09-04,5.3
2024-09-03,5.27
2024-09-02,5.27
2024-08-30,5.34
2024-08-29,5.33
2024-08-28,5.28
2024-08-27,5.29
2024-08-26,5.3
2024-08-23,5.33
2024-08-22,5.29
2024-08-21,5.33
2024-08-20,5.31
2024-08-19,5.33
2024-08-16,5.35
2024-08-15,5.36
2024-08-14,5.23
2024-08-13,5.25
2024-08-12,5.2
2024-08-09,5.15
2024-08-08,5.16
2024-08-07,5.08
2024-08-06,5.13
2024-08-05,4.94
2024-08-02,5.15
2024-08-01,5.29
2024-07-31,5.41
2024-07-30,5.3
2024-07-29,5.31
2024-07-26,5.27
2024-07-25,5.28
2024-07-24,5.27
2024-07-23,5.35
2024-07-22,5.38
2024-07-19,5.3
2024-07-18,5.35
2024-07-17,5.42
2024-07-16,5.53
2024-07-15,5.5
2024-07-12,5.54
2024-07-11,5.55
2024-07-10,5.58
2024-07-09,5.52
2024-07-08,5.49
2024-07-05,5.44
2024-07-03,5.41
2024-07-02,5.37
2024-07-01,5.31
2024-06-28,5.38
2024-06-27,5.33
2024-06-26,5.27
2024-06-25,5.24
2024-06-24,5.28
2024-06-21,5.29
2024-06-20,5.27
2024-06-18,5.24
2024-06-17,5.26
2024-06-14,5.22
2024-06-13,5.24
2024-06-12,5.23
2024-06-11,5.2
2024-06-10,5.15
2024-06-07,5.17
2024-06-06,5.18
2024-06-05,5.19
2024-06-04,5.1
2024-06-03,5.08
2024-05-31,5.07
2024-05-30,5.04
2024-05-29,5.04
2024-05-28,5.08
2024-05-24,5.12
2024-05-23,5.07
2024-05-22,5.18
2024-05-21,5.18
2024-05-20,5.16
2024-05-17,5.13
2024-05-16,5.13
2024-05-15,5.12
2024-05-14,5.05
2024-05-13,5.05
2024-05-10,5.07
2024-05-09,5.03
2024-05-08,5.01
2024-05-07,5.02
2024-05-06,5.0
2024-05-03,4.94
2024-05-02,4.91
2024-05-01,4.88
2024-04-30,4.87
2024-04-29,4.93
2024-04-26,4.91
2024-04-25,4.85
2024-04-24,4.89
2024-04-23,4.86
2024-04-22,4.83
2024-04-19,4.86
2024-04-18,4.89
2024-04-17,5.01
2024-04-16,4.95
2024-04-15,4.95
2024-04-12,5.01
2024-04-11,5.06
2024-04-10,5.01
2024-04-09,5.08
2024-04-08,5.09
2024-04-05,5.09
2024-04-04,5.01
2024-04-03,5.07
2024-04-02,5.02
2024-04-01,5.04
2024-03-28,5.08
2024-03-27,5.08
2024-03-26,5.07
2024-03-25,5.07
2024-03-22,5.09
2024-03-21,5.1
2024-03-20,5.05
2024-03-19,4.98
2024-03-18,4.93
2024-03-15,4.93
2024-03-14,4.93
2024-03-13,5.06
2024-03-12,5.02
2024-03-11,5.0
2024-03-08,5.05
2024-03-07,5.07
2024-03-06,5.01
2024-03-05,4.98
2024-03-04,5.01
2024-03-01,5.02
2024-02-29,4.97
2024-02-28,4.94
2024-02-27,4.96
2024-02-26,4.96
2024-02-23,4.96
2024-02-22,4.95
2024-02-21,4.88
2024-02-20,4.88
2024-02-16,4.96
2024-02-15,4.99
2024-02-14,5.02
2024-02-13,4.9
2024-02-12,5.02
2024-02-09,5.02
2024-02-08,4.97
2024-02-07,4.97
2024-02-06,4.91
2024-02-05,4.87
2024-02-02,4.86
2024-02-01,4.84
2024-01-31,4.76
2024-01-30,4.82
2024-01-29,4.81
2024-01-26,4.77
2024-01-25,4.76
2024-01-24,4.71
2024-01-23,4.65
2024-01-22,4.66
2024-01-19,4.65
2024-01-18,4.61
2024-01-17,4.65
2024-01-16,4.68
2024-01-12,4.71
2024-01-11,4.7
2024-01-10,4.72
2024-01-09,4.69
2024-01-08,4.69
2024-01-05,4.65
2024-01-04,4.63
2024-01-03,4.61
2024-01-02,4.65
2023-12-29,4.7
2023-12-28,4.7
2023-12-27,4.7
2023-12-26,4.69
2023-12-22,4.67
2023-12-21,4.65
2023-12-20,4.68
2023-12-19,4.71
2023-12-18,4.69
2023-12-15,4.67
2023-12-14,4.68
2023-12-13,4.69
2023-12-12,4.6
2023-12-11,4.61
2023-12-08,4.6
2023-12-07,4.59
2023-12-06,4.57
2023-12-05,4.55
2023-12-04,4.62
2023-12-01,4.68
2023-11-30,4.61
2023-11-29,4.59
2023-11-28,4.6
2023-11-27,4.58
