datetime,close
2024-10-07,22.38
2024-10-04,22.59
2024-10-03,22.26
2024-10-02,22.39
2024-10-01,22.69
2024-09-30,23.46
2024-09-27,23.91
2024-09-26,23.92
2024-09-25,23.54
2024-09-24,22.81
2024-09-23,22.56
2024-09-20,21.84
2024-09-19,21.14
2024-09-18,20.77
2024-09-17,21.47
2024-09-16,20.91
2024-09-13,19.66
2024-09-12,19.36
2024-09-11,19.64
2024-09-10,18.98
2024-09-09,19.07
2024-09-08,19.07
2024-09-06,18.89
2024-09-05,19.4
2024-09-04,19.43
2024-09-03,20.1
2024-09-02,20.1
2024-08-30,22.04
2024-08-29,20.13
2024-08-28,19.61
2024-08-27,20.07
2024-08-26,20.13
2024-08-23,20.54
2024-08-22,20.1
2024-08-21,21.41
2024-08-20,20.99
2024-08-19,21.52
2024-08-16,20.87
2024-08-15,20.69
2024-08-14,19.92
2024-08-13,20.47
2024-08-12,19.36
2024-08-09,19.71
2024-08-08,20.49
2024-08-07,18.99
2024-08-06,19.83
2024-08-05,20.11
2024-08-02,21.48
2024-08-01,29.05
2024-07-31,30.74
2024-07-30,30.13
2024-07-29,30.83
2024-07-26,31.35
2024-07-25,31.1
2024-07-24,31.7
2024-07-23,32.95
2024-07-22,33.37
2024-07-19,32.98
2024-07-18,34.87
2024-07-17,34.46
2024-07-16,34.34
2024-07-15,34.46
2024-07-12,34.49
2024-07-11,33.5
2024-07-10,34.87
2024-07-09,34.59
2024-07-08,33.99
2024-07-05,32.02
2024-07-03,31.23
2024-07-02,31.07
2024-07-01,30.84
2024-06-28,30.97
2024-06-27,30.59
2024-06-26,30.54
2024-06-25,30.74
2024-06-24,30.57
2024-06-21,31.09
2024-06-20,30.62
2024-06-18,30.63
2024-06-17,30.98
2024-06-14,30.45
2024-06-13,30.46
2024-06-12,30.76
2024-06-11,30.92
2024-06-10,30.91
2024-06-07,30.74
2024-06-06,30.42
2024-06-05,30.78
2024-06-04,30.03
2024-06-03,30.29
2024-05-31,30.85
2024-05-30,30.19
2024-05-29,30.13
2024-05-28,31.06
2024-05-27,31.06
2024-05-24,30.72
2024-05-23,30.72
2024-05-22,31.42
2024-05-21,31.74
2024-05-20,32.1
2024-05-17,31.83
2024-05-16,32.03
2024-05-15,31.27
2024-05-14,31.05
2024-05-13,30.51
2024-05-10,29.85
2024-05-09,30.09
2024-05-08,30.0
2024-05-07,30.68
2024-05-06,30.97
2024-05-03,30.9
2024-05-02,30.51
2024-05-01,30.37
2024-04-30,30.47
2024-04-29,31.36
2024-04-26,31.88
2024-04-25,35.11
2024-04-24,34.5
2024-04-23,34.28
2024-04-22,34.41
2024-04-19,34.2
2024-04-18,35.04
2024-04-17,35.68
2024-04-16,36.26
2024-04-15,36.31
2024-04-12,35.69
2024-04-11,37.63
2024-04-10,37.2
2024-04-09,38.33
2024-04-08,37.98
2024-04-05,38.71
2024-04-04,39.73
2024-04-03,40.33
2024-04-02,43.94
2024-04-01,44.52
2024-03-28,44.17
2024-03-27,43.77
2024-03-26,41.99
2024-03-25,41.83
2024-03-22,42.57
2024-03-21,42.42
2024-03-20,42.2
2024-03-19,42.05
2024-03-18,42.71
2024-03-15,42.64
2024-03-14,42.75
2024-03-13,43.23
2024-03-12,45.24
2024-03-11,44.86
2024-03-08,44.0
2024-03-07,46.15
2024-03-06,44.51
2024-03-05,43.16
2024-03-04,45.61
2024-03-01,43.82
2024-02-29,43.05
2024-02-28,41.99
2024-02-27,42.73
2024-02-26,42.99
2024-02-23,42.99
2024-02-22,42.98
2024-02-21,43.47
2024-02-20,44.52
2024-02-16,43.51
2024-02-15,44.05
2024-02-14,44.19
2024-02-13,43.16
2024-02-12,44.03
2024-02-09,43.31
2024-02-08,42.5
2024-02-07,42.78
2024-02-06,42.74
2024-02-05,42.77
2024-02-02,42.6
2024-02-01,43.36
2024-01-31,43.08
2024-01-30,42.92
2024-01-29,43.84
2024-01-26,43.65
2024-01-25,49.55
2024-01-24,49.09
2024-01-23,48.89
2024-01-22,48.22
2024-01-19,48.15
2024-01-18,46.74
2024-01-17,46.06
2024-01-16,47.06
2024-01-12,47.12
2024-01-11,47.64
2024-01-10,47.47
2024-01-09,48.05
2024-01-08,48.45
2024-01-05,46.89
2024-01-04,46.87
2024-01-03,47.05
2024-01-02,47.8
2023-12-29,50.25
2023-12-28,50.39
2023-12-27,50.76
2023-12-26,50.5
2023-12-22,48.0
2023-12-21,47.08
2023-12-20,45.76
2023-12-19,46.66
2023-12-18,45.69
2023-12-15,46.16
2023-12-14,45.18
2023-12-13,44.57
2023-12-12,44.04
2023-12-11,44.54
2023-12-08,42.7
2023-12-07,42.15
2023-12-06,41.27
2023-12-05,41.92
2023-12-04,42.35
2023-12-01,43.74
2023-11-30,44.7
2023-11-29,44.94
2023-11-28,44.23
2023-11-27,44.08
2023-11-24,43.96
2023-11-22,43.67
2023-11-21,43.64
2023-11-20,44.74
2023-11-17,43.81
2023-11-16,43.35
2023-11-15,40.61
2023-11-14,39.41
2023-11-13,38.23
2023-11-10,38.86
2023-11-09,37.8
2023-11-08,37.92
2023-11-07,38.77
2023-11-06,37.95
2023-11-03,38.14
2023-11-02,37.7
2023-11-01,37.29
2023-10-31,36.5
2023-10-30,35.69
2023-10-27,35.54
2023-10-26,32.52
2023-10-25,32.83
2023-10-24,34.59
2023-10-23,33.85
2023-10-20,34.92
2023-10-19,35.67
2023-10-18,35.64
2023-10-17,36.06
2023-10-16,36.56
2023-10-13,35.97
2023-10-12,36.84
2023-10-11,36.88
2023-10-10,36.43
2023-10-09,36.06
2023-10-06,36.19
2023-10-05,35.89
2023-10-04,35.93
2023-10-03,35.69
2023-10-02,35.46
2023-09-29,35.55
2023-09-28,35.18
2023-09-27,34.61
2023-09-26,33.83
2023-09-25,34.29
2023-09-22,34.18
2023-09-21,34.65
2023-09-20,34.69
2023-09-19,36.34
2023-09-18,37.99
2023-09-15,37.88
2023-09-14,38.67
2023-09-13,38.71
2023-09-12,38.86
2023-09-11,38.59
2023-09-08,38.01
2023-09-07,38.18
2023-09-06,36.98
2023-09-05,36.71
2023-09-01,36.61
2023-08-31,35.14
2023-08-30,34.53
2023-08-29,34.31
2023-08-28,33.62
2023-08-25,33.25
2023-08-24,32.59
2023-08-23,33.98
2023-08-22,32.89
2023-08-21,33.14
2023-08-18,32.75
2023-08-17,32.58
2023-08-16,33.53
2023-08-15,34.77
2023-08-14,35.68
2023-08-11,34.89
2023-08-10,34.68
2023-08-09,34.28
2023-08-08,35.02
2023-08-07,35.23
2023-08-04,35.14
2023-08-03,34.87
2023-08-02,34.39
2023-08-01,35.8
2023-07-31,35.77
2023-07-28,36.83
2023-07-27,34.55
2023-07-26,34.36
2023-07-25,34.1
2023-07-24,33.63
2023-07-21,34.02
2023-07-20,33.37
2023-07-19,34.46
2023-07-18,34.5
2023-07-17,34.37
2023-07-14,33.15
2023-07-13,33.87
2023-07-12,33.98
2023-07-11,33.3
2023-07-10,32.74
2023-07-07,31.85
2023-07-06,31.97
2023-07-05,32.51
2023-07-03,33.62
2023-06-30,33.44
2023-06-29,32.91
2023-06-28,33.57
2023-06-27,34.1
2023-06-26,33.34
2023-06-23,33.0
2023-06-22,32.71
2023-06-21,32.9
2023-06-20,35.0
2023-06-16,36.37
2023-06-15,35.82
2023-06-14,35.58
2023-06-13,33.91
2023-06-12,33.07
2023-06-09,31.34
2023-06-08,31.82
2023-06-07,31.28
2023-06-06,30.96
2023-06-05,29.86
2023-06-02,31.31
2023-06-01,31.13
2023-05-31,31.44
2023-05-30,29.99
2023-05-26,29.0
2023-05-25,27.4
2023-05-24,29.0
2023-05-23,29.51
2023-05-22,30.28
2023-05-19,29.93
2023-05-18,29.68
2023-05-17,28.87
2023-05-16,29.22
2023-05-15,29.8
2023-05-12,28.95
2023-05-11,28.86
2023-05-10,29.97
2023-05-09,30.1
2023-05-08,30.77
2023-05-05,30.99
2023-05-04,31.24
2023-05-03,30.65
2023-05-02,29.77
2023-05-01,30.3
2023-04-28,31.06
2023-04-27,29.86
2023-04-26,29.05
2023-04-25,28.88
2023-04-24,29.66
2023-04-21,30.3
2023-04-20,30.86
2023-04-19,31.15
2023-04-18,31.83
2023-04-17,32.14
2023-04-14,31.89
2023-04-13,32.13
2023-04-12,32.02
2023-04-11,32.35
