datetime,close
2024-10-07,80.29
2024-10-04,83.85
2024-10-03,85.05
2024-10-02,85.43
2024-10-01,85.27
2024-09-30,84.53
2024-09-27,84.54
2024-09-26,83.46
2024-09-25,84.62
2024-09-24,84.29
2024-09-23,84.82
2024-09-20,82.76
2024-09-19,82.29
2024-09-18,84.28
2024-09-17,84.97
2024-09-16,84.64
2024-09-13,84.65
2024-09-12,83.46
2024-09-11,83.43
2024-09-10,82.3
2024-09-09,81.19
2024-09-06,79.98
2024-09-05,80.33
2024-09-04,81.08
2024-09-03,79.93
2024-08-30,80.51
2024-08-29,80.03
2024-08-28,79.41
2024-08-27,79.61
2024-08-26,80.64
2024-08-23,79.66
2024-08-22,78.92
2024-08-21,79.64
2024-08-20,78.98
2024-08-19,79.35
2024-08-16,78.57
2024-08-15,77.41
2024-08-14,78.01
2024-08-13,78.12
2024-08-12,77.58
2024-08-09,77.46
2024-08-08,77.54
2024-08-07,77.56
2024-08-06,76.97
2024-08-05,76.68
2024-08-02,79.2
2024-08-01,78.39
2024-07-31,76.39
2024-07-30,74.28
2024-07-29,74.34
2024-07-26,74.26
2024-07-25,73.44
2024-07-24,75.41
2024-07-23,72.11
2024-07-22,72.9
2024-07-19,72.0
2024-07-18,71.67
2024-07-17,70.9
2024-07-16,71.9
2024-07-15,70.97
2024-07-12,76.0
2024-07-11,74.7
2024-07-10,72.9
2024-07-09,72.12
2024-07-08,72.11
2024-07-05,72.09
2024-07-03,71.83
2024-07-02,70.47
2024-07-01,69.9
2024-06-28,70.81
2024-06-27,73.72
2024-06-26,73.37
2024-06-25,72.98
2024-06-24,73.85
2024-06-21,72.81
2024-06-20,72.46
2024-06-18,70.44
2024-06-17,72.31
2024-06-14,73.06
2024-06-13,73.18
2024-06-12,72.26
2024-06-11,72.74
2024-06-10,76.97
2024-06-07,75.39
2024-06-06,76.7
2024-06-05,77.05
2024-06-04,77.15
2024-06-03,77.71
2024-05-31,80.02
2024-05-30,78.19
2024-05-29,76.68
2024-05-28,77.53
2024-05-24,76.61
2024-05-23,75.32
2024-05-22,76.32
2024-05-21,76.95
2024-05-20,75.87
2024-05-17,76.09
2024-05-16,76.41
2024-05-15,77.05
2024-05-14,75.42
2024-05-13,74.58
2024-05-10,73.79
2024-05-09,74.58
2024-05-08,72.85
2024-05-07,71.95
2024-05-06,71.25
2024-05-03,70.14
2024-05-02,68.85
2024-05-01,68.61
2024-04-30,66.97
2024-04-29,67.42
2024-04-26,65.99
2024-04-25,66.9
2024-04-24,66.56
2024-04-23,66.2
2024-04-22,65.31
2024-04-19,64.3
2024-04-18,64.01
2024-04-17,63.79
2024-04-16,61.7
2024-04-15,62.75
2024-04-12,63.08
2024-04-11,63.94
2024-04-10,64.01
2024-04-09,65.38
2024-04-08,64.86
2024-04-05,64.18
2024-04-04,63.73
2024-04-03,62.55
2024-04-02,62.88
2024-04-01,63.38
2024-03-28,63.91
2024-03-27,63.79
2024-03-26,61.43
2024-03-25,62.61
2024-03-22,61.78
2024-03-21,61.36
2024-03-20,62.2
2024-03-19,61.27
2024-03-18,60.17
2024-03-15,60.08
2024-03-14,59.54
2024-03-13,59.54
2024-03-12,57.15
2024-03-11,57.87
2024-03-08,57.81
2024-03-07,56.25
2024-03-06,55.53
2024-03-05,55.4
2024-03-04,54.97
2024-03-01,55.21
2024-02-29,55.19
2024-02-28,55.04
2024-02-27,55.56
2024-02-26,55.15
2024-02-23,56.78
2024-02-22,56.67
2024-02-21,57.1
2024-02-20,56.61
2024-02-16,57.03
2024-02-15,57.27
2024-02-14,56.01
2024-02-13,55.25
2024-02-12,57.55
2024-02-09,56.58
2024-02-08,56.29
2024-02-07,56.38
2024-02-06,56.23
2024-02-05,55.97
2024-02-02,58.15
2024-02-01,59.75
2024-01-31,58.63
2024-01-30,59.28
2024-01-29,59.57
2024-01-26,58.48
2024-01-25,57.98
2024-01-24,57.01
2024-01-23,57.38
2024-01-22,56.85
2024-01-19,57.26
2024-01-18,57.65
2024-01-17,58.27
2024-01-16,60.35
2024-01-12,61.04
2024-01-11,60.72
2024-01-10,62.28
2024-01-09,62.01
2024-01-08,62.92
2024-01-05,62.08
2024-01-04,61.8
2024-01-03,61.99
2024-01-02,61.57
2023-12-29,60.74
2023-12-28,61.02
2023-12-27,60.58
2023-12-26,60.21
2023-12-22,59.75
2023-12-21,59.6
2023-12-20,59.84
2023-12-19,61.57
2023-12-18,61.0
2023-12-15,61.5
2023-12-14,62.78
2023-12-13,62.51
2023-12-12,59.52
2023-12-11,59.71
2023-12-08,59.7
2023-12-07,59.85
2023-12-06,60.2
2023-12-05,58.23
2023-12-04,58.67
2023-12-01,59.17
2023-11-30,58.51
2023-11-29,58.36
2023-11-28,58.16
2023-11-27,57.58
2023-11-24,57.55
2023-11-22,57.47
2023-11-21,57.98
2023-11-20,57.34
2023-11-17,57.37
2023-11-16,56.6
2023-11-15,57.0
2023-11-14,57.55
2023-11-13,54.5
2023-11-10,55.14
2023-11-09,54.72
2023-11-08,57.5
2023-11-07,58.46
2023-11-06,59.04
2023-11-03,59.38
2023-11-02,59.91
2023-11-01,58.43
2023-10-31,58.3
2023-10-30,57.2
2023-10-27,56.24
2023-10-26,57.57
2023-10-25,56.46
2023-10-24,55.12
2023-10-23,51.52
2023-10-20,51.96
2023-10-19,52.39
2023-10-18,53.24
2023-10-17,54.17
2023-10-16,54.38
2023-10-13,54.49
2023-10-12,53.0
2023-10-11,53.54
2023-10-10,51.58
2023-10-09,49.32
2023-10-06,50.24
2023-10-05,49.45
2023-10-04,50.62
2023-10-03,52.78
2023-10-02,52.15
2023-09-29,57.29
2023-09-28,57.08
2023-09-27,59.96
2023-09-26,65.34
2023-09-25,67.47
2023-09-22,67.7
2023-09-21,66.91
2023-09-20,67.35
2023-09-19,67.59
2023-09-18,68.24
2023-09-15,68.64
2023-09-14,69.28
2023-09-13,68.43
2023-09-12,67.73
2023-09-11,67.53
2023-09-08,66.83
2023-09-07,66.25
2023-09-06,65.69
2023-09-05,66.2
2023-09-01,66.87
2023-08-31,66.8
2023-08-30,67.09
2023-08-29,67.51
2023-08-28,68.02
2023-08-25,67.96
2023-08-24,67.22
2023-08-23,67.89
2023-08-22,67.52
2023-08-21,67.08
2023-08-18,67.83
2023-08-17,67.51
2023-08-16,67.56
2023-08-15,67.35
2023-08-14,68.56
2023-08-11,68.92
2023-08-10,68.29
2023-08-09,68.92
2023-08-08,68.71
2023-08-07,68.64
2023-08-04,69.17
2023-08-03,70.1
2023-08-02,71.91
2023-08-01,72.17
2023-07-31,73.3
2023-07-28,72.85
2023-07-27,73.27
2023-07-26,74.37
2023-07-25,75.44
2023-07-24,75.5
2023-07-21,75.9
2023-07-20,74.1
2023-07-19,72.1
2023-07-18,72.05
2023-07-17,72.66
2023-07-14,73.2
2023-07-13,73.71
2023-07-12,73.47
2023-07-11,72.19
2023-07-10,71.71
2023-07-07,72.05
2023-07-06,73.02
2023-07-05,74.95
2023-07-03,74.38
2023-06-30,74.2
2023-06-29,72.81
2023-06-28,73.44
2023-06-27,73.91
2023-06-26,74.29
2023-06-23,74.17
2023-06-22,75.13
2023-06-21,75.78
2023-06-20,74.76
2023-06-16,75.59
2023-06-15,74.36
2023-06-14,73.4
2023-06-13,74.35
2023-06-12,73.98
2023-06-09,74.07
2023-06-08,74.9
2023-06-07,74.17
2023-06-06,73.38
2023-06-05,73.59
2023-06-02,73.85
2023-06-01,72.96
2023-05-31,73.46
2023-05-30,72.69
2023-05-26,73.92
2023-05-25,73.39
2023-05-24,74.24
2023-05-23,74.16
2023-05-22,74.58
2023-05-19,74.48
2023-05-18,75.1
2023-05-17,75.34
2023-05-16,75.84
2023-05-15,77.54
2023-05-12,77.96
2023-05-11,76.1
2023-05-10,76.89
2023-05-09,75.58
2023-05-08,76.06
2023-05-05,75.51
2023-05-04,75.51
2023-05-03,75.39
2023-05-02,75.94
2023-05-01,76.8
2023-04-28,76.63
2023-04-27,75.85
2023-04-26,74.07
2023-04-25,77.82
2023-04-24,79.04
2023-04-21,78.99
2023-04-20,78.75
2023-04-19,78.94
2023-04-18,78.3
2023-04-17,78.54
2023-04-14,78.02
2023-04-13,78.85
2023-04-12,78.59
2023-04-11,78.34
2023-04-10,78.43
2023-04-06,78.97
2023-04-05,78.33
2023-04-04,77.16
2023-04-03,76.67
2023-03-31,77.08
2023-03-30,76.59
2023-03-29,76.11
2023-03-28,75.24
2023-03-27,75.44
2023-03-24,75.69
2023-03-23,73.81
2023-03-22,74.13
2023-03-21,75.36
2023-03-20,75.97
2023-03-17,75.67
2023-03-16,76.23
2023-03-15,75.52
2023-03-14,74.55
2023-03-13,73.29
2023-03-10,73.01
2023-03-09,73.76
2023-03-08,74.25
2023-03-07,73.75
2023-03-06,74.4
2023-03-03,73.83
2023-03-02,72.21
2023-03-01,69.87
2023-02-28,71.03
2023-02-27,71.86
2023-02-24,72.92
2023-02-23,72.87
2023-02-22,73.68
2023-02-21,73.66
2023-02-17,76.07
2023-02-16,75.69
2023-02-15,76.94
2023-02-14,76.03
2023-02-13,75.62
2023-02-10,74.74
2023-02-09,73.27
2023-02-08,75.03
2023-02-07,76.08
2023-02-06,75.51
2023-02-03,74.67
2023-02-02,75.6
2023-02-01,74.24
2023-01-31,74.63
2023-01-30,75.05
2023-01-27,75.58
2023-01-26,76.4
2023-01-25,76.59
2023-01-24,83.9
2023-01-23,82.67
2023-01-20,81.82
2023-01-19,82.59
2023-01-18,83.8
2023-01-17,85.74
2023-01-13,84.68
2023-01-12,85.07
2023-01-11,85.0
2023-01-10,84.54
2023-01-09,84.07
2023-01-06,83.65
2023-01-05,82.63
2023-01-04,84.49
2023-01-03,83.83
