Date,Value_1,Value_2,Value_3
07-05-1991,3165.0,5000.0,7865.0
07-06-1991,3165.0,4950.0,7815.0
07-07-1991,3140.0,4950.0,7820.0
07-08-1991,3150.0,5020.0,8020.0
07-09-1991,3125.0,5090.0,8170.0
07-10-1991,3120.0,5090.0,8237.5
07-11-1991,3110.0,5130.0,8150.0
07-12-1991,3110.0,5100.0,8087.5
07-13-1991,3095.0,5100.0,8040.0
07-14-1991,3105.0,5080.0,7677.5
07-15-1991,3125.0,5080.0,7740.0
07-16-1991,3140.0,5070.0,7400.0
07-17-1991,3130.0,5060.0,7420.0
07-18-1991,3120.0,5060.0,7582.5
07-19-1991,3070.0,5060.0,7525.0
07-20-1991,3040.0,5060.0,7535.0
07-21-1991,3027.5,5060.0,7525.0
07-22-1991,3037.5,5060.0,7557.5
07-23-1991,3080.0,4990.0,7595.0
07-24-1991,3050.0,4925.0,7645.0
07-25-1991,3030.0,5000.0,7677.5
07-26-1991,3040.0,4985.0,8002.5
07-27-1991,3050.0,5000.0,7975.0
07-28-1991,3025.0,5030.0,7947.5
07-29-1991,3047.5,5030.0,8015.0
07-30-1991,3045.0,5030.0,8037.5
07-31-1991,3040.0,5000.0,8042.5
08-01-1991,3035.0,4930.0,8127.5
08-02-1991,2980.0,4930.0,8070.0
08-03-1991,2980.0,4930.0,8222.5
08-04-1991,3010.0,4862.5,8080.0
08-05-1991,2980.0,4770.0,8115.0
08-06-1991,2970.0,4800.0,8167.5
08-07-1991,2920.0,4830.0,8232.5
08-08-1991,2935.0,4920.0,8340.0
08-09-1991,2930.0,4920.0,8360.0
08-10-1991,2910.0,4950.0,8505.0
08-11-1991,2880.0,4950.0,8440.0
08-12-1991,2885.0,4950.0,8375.0
08-13-1991,2900.0,5030.0,8440.0
08-14-1991,2840.0,5010.0,8377.5
08-15-1991,2800.0,5040.0,8332.5
08-16-1991,2775.0,5040.0,8345.0
08-17-1991,2740.0,5040.0,8440.0
08-18-1991,2745.0,5040.0,8390.0
08-19-1991,2780.0,5040.0,8652.5
08-20-1991,2810.0,4950.0,8490.0
08-21-1991,2840.0,5020.0,8407.5
08-22-1991,2845.0,5060.0,8460.0
08-23-1991,2845.0,5030.0,8500.0
08-24-1991,2820.0,5000.0,8610.0
08-25-1991,2820.0,4975.0,8767.5
08-26-1991,2870.0,4980.0,8627.5
08-27-1991,2970.0,5035.0,8737.5
08-28-1991,2980.0,4950.0,8745.0
08-29-1991,2970.0,5060.0,8832.5
08-30-1991,2945.0,4955.0,8900.0
08-31-1991,3020.0,4955.0,8855.0
09-01-1991,3015.0,4960.0,8930.0
09-02-1991,3020.0,4980.0,9132.5
09-03-1991,3065.0,4980.0,9080.0
09-04-1991,3060.0,5020.0,8895.0
09-05-1991,3020.0,5020.0,8990.0
09-06-1991,2935.0,5000.0,9040.0
09-07-1991,3000.0,4910.0,9247.5
09-08-1991,3000.0,4970.0,9215.0
09-09-1991,3050.0,4930.0,9177.5
09-10-1991,3040.0,4950.0,9290.0
09-11-1991,3040.0,5030.0,9420.0
09-12-1991,3090.0,5080.0,9520.0
09-13-1991,3040.0,5000.0,9270.0
09-14-1991,3085.0,5120.0,9315.0
09-15-1991,2820.0,5130.0,9335.0
09-16-1991,2920.0,5230.0,9030.0
09-17-1991,3070.0,5260.0,9082.5
09-18-1991,3110.0,5350.0,9322.5
09-19-1991,3110.0,5280.0,9080.0
09-20-1991,3180.0,5380.0,8575.0
09-21-1991,3157.5,5440.0,8687.5
09-22-1991,3157.5,5620.0,8580.0
09-23-1991,3125.0,5650.0,8900.0
09-24-1991,3132.5,5820.0,9010.0
09-25-1991,3165.0,5800.0,9040.0
09-26-1991,3175.0,5840.0,8935.0
09-27-1991,3165.0,5800.0,9017.5
09-28-1991,3155.0,5600.0,9060.0
09-29-1991,3135.0,5790.0,8840.0
09-30-1991,3145.0,5650.0,8650.0
10-01-1991,3155.0,5600.0,8540.0
10-02-1991,3195.0,5630.0,8410.0
10-03-1991,3220.0,5790.0,8227.5
10-04-1991,3250.0,5720.0,8275.0
10-05-1991,3252.5,5720.0,7880.0
10-06-1991,3275.0,5720.0,7890.0
10-07-1991,3270.0,5570.0,8377.5
10-08-1991,3250.0,5450.0,8470.0
10-09-1991,3230.0,5530.0,8460.0
10-10-1991,3225.0,5580.0,8477.5
10-11-1991,3240.0,5600.0,8430.0
10-12-1991,3225.0,5600.0,8610.0
10-13-1991,3225.0,5700.0,8620.0
10-14-1991,3282.5,5750.0,8550.0
10-15-1991,3330.0,5740.0,8690.0
10-16-1991,3380.0,5630.0,8630.0
10-17-1991,3385.0,5650.0,8945.0
10-18-1991,3345.0,5650.0,8942.5
10-19-1991,3410.0,5600.0,9312.5
10-20-1991,3450.0,5640.0,9220.0
10-21-1991,3410.0,5640.0,9210.0
10-22-1991,3395.0,5725.0,9062.5
10-23-1991,3335.0,5740.0,9270.0
10-24-1991,3430.0,5790.0,9145.0
10-25-1991,3415.0,5810.0,8885.0
10-26-1991,3425.0,5680.0,8805.0
10-27-1991,3445.0,5640.0,8727.5
10-28-1991,3470.0,5640.0,8790.0
10-29-1991,3530.0,5640.0,9017.5
10-30-1991,3485.0,5640.0,9260.0
10-31-1991,3525.0,5630.0,9250.0
11-01-1991,3510.0,5640.0,9355.0
11-02-1991,3540.0,5660.0,9617.5
11-03-1991,3435.0,5680.0,9522.5
11-04-1991,3410.0,5730.0,9225.0
11-05-1991,3470.0,5740.0,8955.0
11-06-1991,3455.0,5820.0,9290.0
11-07-1991,3490.0,5845.0,9230.0
11-08-1991,3492.5,5750.0,9385.0
11-09-1991,3495.0,5740.0,9130.0
11-10-1991,3465.0,5730.0,9050.0
11-11-1991,3430.0,5730.0,9250.0
11-12-1991,3375.0,5770.0,9550.0
11-13-1991,3400.0,5770.0,9570.0
11-14-1991,3370.0,5780.0,9370.0
11-15-1991,3370.0,5780.0,9302.5
11-16-1991,3410.0,5820.0,9232.5
11-17-1991,3420.0,5880.0,9307.5
11-18-1991,3400.0,5940.0,9390.0
