fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1656_D1657_D1658.csv,398515.5257585479,500599.6542190401,437246.0115133374,519120.13183023233,552129.1183983996,14606.657213923225,487338.8589990134,499747.5285663217,485787.4925595238
D1660_D1661_D1662.csv,54025.5895236701,6536.3399432273045,54055.629105474814,14391.127394433719,11317.686639641903,60766.26977148987,52556.593102708655,52626.11771528483,2881.319785255931
D2059_D2060_D2061.csv,551375.0376559328,585755.2024846894,526079.9044122625,576926.1376482061,543702.8920258096,6306.8839201070405,597384.7387343373,597843.6992779856,536974.5255000001
D1615_D1616_D1617.csv,152325.28679301383,129130.95150996585,120945.23260907299,136168.9453230376,126831.19360320509,14156.801697530858,164415.35171998522,162122.61659167372,111450.78855555554
D49_D50_D51.csv,877546.1057056285,815282.0358698022,877696.7339458733,814035.5035452684,812955.9289021993,2239.666479990751,876739.8351832677,876760.01966137,825919.272634236
D1625_D1626_D1627.csv,5523071.625910989,8589165.062333183,5771902.030202278,8358524.933377641,8713419.823252842,315109.69328703696,5975321.550500366,5413232.329453272,7894473.658074726
D152_D153_D154.csv,36508985.058767654,35585549.544112384,30141451.111333646,36483630.69891794,37552620.56504496,145574.24663662486,34614695.432309926,34448121.34183303,64626903.680193745
D169_D170_D171.csv,47533352.800758384,43892725.026036866,46537378.57678508,43886193.635892026,43431253.02109315,433040.2536938882,49192493.12213301,49192493.12213301,43855705.680527225
D2075_D2076_D2077.csv,13288884.637571422,20027147.318796232,13287411.516127286,20717690.576685477,19832163.70819266,1023025.4167805333,13388777.796355218,13387550.983775513,19406036.948854264
D3613_D3614_D3615.csv,30517473.66791752,31176222.247295037,30449086.23735234,31374858.55663563,31565055.353418007,3750.9863903155488,30481746.971616033,30478973.43205907,31309815.698039077
D3619_D3620_D3621.csv,2219362.628546675,1490231.46946763,13540228.203418253,1490106.350447233,1487576.830208053,201.6529549319807,267833.62678579113,924034.1432460236,1493614.652708333
D1632_D1633_D1634.csv,25717.896499667455,14773.88885244726,25715.605294239376,17532.3496556576,14590.26213630084,15485.1547094657,31047.889720876043,28800.4748251208,8652.87163
D168_D169_D170.csv,47298940.67881725,43651431.35432736,47812697.96563337,43700826.771276124,43522291.01463779,433795.56535990315,45935583.069452055,45956887.29481608,43454057.172262244
D3603_D3604_D3605.csv,3629327.047285998,3767599.50305597,3629341.7072576224,3829406.851545295,3661833.3838152424,8036.3563070146365,3950035.4916829444,3950118.188831698,3797844.1514762505
D175_D176_D177.csv,34483437.306960925,32090094.64432448,34138574.3574934,31710862.702647068,31483810.923967578,189798.42463141493,34407081.026325054,34456426.12363739,32615709.46106565
